Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
16.9	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12	-6.985804E-12
17.55	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12	-6.986079E-12
18.2	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12	-6.986353E-12
18.85	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12	-6.986625E-12
19.5	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12	-6.986895E-12
20.15	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12	-6.987165E-12
20.8	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12	-6.987433E-12
21.45	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12	-6.987699E-12
22.1	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12	-6.987964E-12
22.75	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12	-6.988228E-12
