Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
24.05	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13	-9.815132E-13
24.7	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13	-9.821261E-13
25.35	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13	-9.827262E-13
26	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13	-9.833137E-13
26.65	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13	-9.838889E-13
27.3	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13	-9.844521E-13
27.95	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13	-9.850035E-13
28.6	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13	-9.855434E-13
29.25	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13	-9.86072E-13
29.9	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13	-9.865895E-13
