Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
3.38	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13	-2.780632E-13
3.51	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13	-2.778497E-13
3.64	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13	-2.776477E-13
3.77	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13	-2.774564E-13
3.9	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13	-2.772754E-13
4.03	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13	-2.77104E-13
4.16	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13	-2.769418E-13
4.29	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13	-2.767883E-13
4.42	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13	-2.766429E-13
4.55	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13	-2.765054E-13
