Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
22.75	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12	-1.515071E-12
23.4	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12	-1.528504E-12
24.05	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12	-1.541825E-12
24.7	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12	-1.555036E-12
25.35	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12	-1.568138E-12
26	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12	-1.581131E-12
26.65	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12	-1.594017E-12
27.3	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12	-1.606796E-12
27.95	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12	-1.619469E-12
28.6	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12	-1.632037E-12
29.25	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12	-1.644502E-12
29.9	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12	-1.656863E-12
30.55	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12	-1.669121E-12
31.2	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12	-1.681278E-12
31.85	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12	-1.693335E-12
32.5	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12	-1.705292E-12
33.15	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12	-1.717149E-12
